Anabazenops_fuscus,9,Melozone_fuscus
Anairetes_agilis,8,Actenoides_regalis
Anairetes_agilis,8,Asthenes_griseomurina
Anairetes_agilis,8,Atlapetes_atricapillus
Anairetes_alpinus,8,Nisaetus_pinskeri
Anairetes_alpinus,8,Oceanites_pincoyae
Anairetes_alpinus,8,Podiceps_andinus
Anairetes_parulus,9,Asthenes_palpebralis
Anairetes_parulus,9,Ceuthmochares_australis
Anairetes_parulus,9,Pionites_xanthurus
Anairetes_parulus,9,Quiscalus_palustris
Anairetes_parulus,9,Spizaetus_bartelsi
Anairetes_parulus,9,Spizaetus_nanus
Anthochaera_paradoxa,11,Antrostomus_arizonae
Anthochaera_paradoxa,11,Campethera_taeniolaema
Anthochaera_paradoxa,11,Lophura_pyronota
Ara_ararauna,5,Columba_araucana
Ara_ararauna,5,Systellura_roraimae
Arachnothera_affinis,8,Aegotheles_affinis
Arremon_semitorquatus,10,Lophoceros_semifasciatus
Atlapetes_leucopis,6,Atlapetes_atricapillus
Atlapetes_leucopterus,8,Atlapetes_atricapillus
Batis_soror,4,Batis_erlangeri
Bernieria_tenebrosa,7,Pachycephala_tenebrosa
Brachygalba_goeringi,9,Trachylaemus_goffinii
Brachygalba_lugubris,11,Psittacara_rubritorquis
Brachygalba_lugubris,11,Trachylaemus_goffinii
Brachygalba_lugubris,11,Trachylaemus_purpuratus
Brachygalba_lugubris,11,Trachylaemus_togoensis
Brachyramphus_brevirostris,7,Aerodramus_brevirostris
Brachyramphus_marmoratus,9,Trachylaemus_purpuratus
Bradornis_infuscatus,8,Amaurornis_moluccanus
Bradornis_mariquensis,10,Chlamydotis_macqueenii
Bradornis_mariquensis,10,Otidiphaps_aruensis
Bradornis_microrhynchus,11,Aulacorhynchus_calorhynchus
Bradornis_microrhynchus,11,Turdus_xanthorhynchus
Bradornis_pallidus,8,Amaurornis_isabellinus
Brotogeris_tirica,8,Psittaculirostris_cervicalis
Buphagus_erythrorhynchus,9,Turdus_xanthorhynchus
Burhinus_vermiculatus,7,Megascops_vermiculatus
Cacatua_goffiniana,8,Trachylaemus_goffinii
Cacatua_moluccensis,9,Trichoglossus_moluccanus
Cacicus_melanicterus,10,Colaptes_melanolaimus
Cacicus_melanicterus,10,Esacus_magnirostris
Cacicus_melanicterus,10,Orchetorhynchus_phoenicurus
Cacicus_melanicterus,10,Spizastur_melanoleucus
Cacicus_microrhynchus,8,Aulacorhynchus_calorhynchus
Calidris_alpina,7,Chionis_alba
Calidris_alpina,7,Ciridops_anna
Calidris_ferruginea,6,Geophaps_ferruginea
Calidris_tenuirostris,5,Rallus_tenuirostris
Callipepla_douglasii,10,Coeligena_conradii
Calliphlox_bryantae,10,Canirallus_beankaensis
Calliphlox_evelynae,10,Gallinago_delicata
Calliphlox_evelynae,10,Synallaxis_beverlyae
Calonectris_diomedea,5,Calonectris_borealis
Calorhamphus_fuliginosus,8,Mulleripicus_fuliginosus
Calyptorhynchus_banksii,10,Aulacorhynchus_albivitta
Calyptorhynchus_banksii,10,Aulacorhynchus_wagleri
Calyptorhynchus_banksii,10,Calorhamphus_hayii
Calyptorhynchus_banksii,10,Cyclorrhynchus_psittacula
Camarhynchus_heliobates,10,Aulacorhynchus_cyanolaemus
Camarhynchus_heliobates,10,Aulacorhynchus_whitelianus
Campephaga_oriolina,9,Campethera_taeniolaema
Campephaga_petiti,8,Campethera_taeniolaema
Campephilus_leucopogon,8,Campephilus_splendens
Campephilus_rubricollis,10,Campephilus_splendens
Campethera_cailliautii,9,Campethera_taeniolaema
Campethera_nivosa,5,Campethera_taeniolaema
Campethera_punctuligera,9,Campethera_taeniolaema
Campethera_scriptoricauda,11,Campethera_taeniolaema
Campochaera_sloetii,8,Campethera_taeniolaema
Camptostoma_imberbe,10,Ramphastos_ariel
Camptostoma_obsoletum,10,Rallus_obsoletus
Campylopterus_duidae,10,Scytalopus_diamantinensis
Campylopterus_ensipennis,11,Hylatomus_fuscipennis
Campylopterus_excellens,11,Campephilus_splendens
Campylopterus_falcatus,10,Lophoceros_fasciatus
Campylopterus_hemileucurus,15,Campephilus_splendens
Campylopterus_hemileucurus,15,Celeus_tinnunculus
Campylopterus_hemileucurus,15,Lophoceros_semifasciatus
Campylopterus_hemileucurus,15,Phaenicophaeus_oeneicaudus
Campylopterus_hemileucurus,15,Phoenicopterus_minor
Campylopterus_hyperythrus,12,Hierococcyx_hyperythrus
Campylorhamphus_falcularius,12,Calorhamphus_hayii
Capito_auratus,6,Capito_fitzpatricki
Capito_auratus,6,Trichoglossus_capistratus
Caprimulgus_batesi,5,Caprimulgus_andamanicus
Caprimulgus_batesi,5,Caprimulgus_jotaka
Caprimulgus_binotatus,6,Caprimulgus_jotaka
Caprimulgus_maculicaudus,9,Caprimulgus_andamanicus
Celeus_brachyurus,7,Celeus_ochraceus
Celeus_torquatus,6,Celeus_ochraceus
Celeus_torquatus,6,Celeus_tinnunculus
Centropus_toulou,8,Antrostomus_arizonae
Centropus_toulou,8,Antrostomus_ekmani
Centropus_toulou,8,Antrostomus_vociferus
Chaetops_frenatus,8,Chaetoptila_angustipluma
Chaetops_frenatus,8,Chaunoproctus_ferreorostris
Chaetops_frenatus,8,Hieraaetus_fasciatus
Chaetops_frenatus,8,Ramphastos_culminatus
Chaetops_frenatus,8,Spizaetus_africanus
Chaetops_frenatus,8,Spizaetus_nanus
Chaetops_frenatus,8,Zosterops_strenuus
Chaetops_frenatus,8,Zosterops_strenuus
Chaetops_frenatus,8,Zosterops_strenuus
Charmosyna_meeki,4,Charmosyna_stellae
Chauna_torquata,8,Charadrius_aquilonius
Chauna_torquata,8,Chaunoproctus_ferreorostris
Chauna_torquata,8,Clanga_hastata
Chauna_torquata,8,Columba_inornata
Chauna_torquata,8,Columba_larvata
Chauna_torquata,8,Lophura_pyronota
Chauna_torquata,8,Lophura_rufa
Chauna_torquata,8,Porzana_monasa
Chauna_torquata,8,Pyrrhura_peruviana
Chauna_torquata,8,Rhea_tarapacensis
Chionis_minor,5,Aplonis_mavornata
Chionis_minor,5,Chionis_alba
Chionis_minor,5,Ciconia_microscelis
Chionis_minor,5,Psilorhinus_morio
Chiroxiphia_boliviana,8,Phibalura_boliviana
Chlamydera_nuchalis,9,Psilopogon_nuchalis
Chloropsis_cochinchinensis,13,Arborophila_tonkinesis
Chloropsis_cochinchinensis,13,Chloropipo_uniformis
Chloropsis_cochinchinensis,13,Scytalopus_diamantinensis
Chloropsis_cochinchinensis,13,Spilopelia_chinensis
Chloropsis_cyanopogon,10,Chloropipo_unicolor
Chloropsis_cyanopogon,10,Chloropipo_uniformis
Chloropsis_cyanopogon,10,Merops_cyanophrys
Chloropsis_flavipennis,8,Chloropipo_flavicapilla
Chloropsis_hardwickii,10,Chloropipo_flavicapilla
Chloropsis_jerdoni,8,Chloropipo_unicolor
Chloropsis_jerdoni,8,Chloropipo_uniformis
Chloropsis_jerdoni,8,Heliopais_personata
Chloropsis_jerdoni,8,Phaethornis_baroni
Chloropsis_jerdoni,8,Ptilopsis_leucotis
Chloropsis_kinabaluensis,12,Buceros_mindanensis
Chloropsis_kinabaluensis,12,Coracopsis_sibilans
Chloropsis_kinabaluensis,12,Ptilinopus_ponapensis
Chloropsis_media,7,Chloropipo_flavicapilla
Chloropsis_media,7,Chloropipo_unicolor
Chloropsis_media,7,Chloropipo_uniformis
Chloropsis_media,7,Phlegopsis_borbae
Chloropsis_palawanensis,11,Ptilinopus_ponapensis
Chloropsis_palawanensis,11,Scleroptila_elgonensis
Chloropsis_sonnerati,9,Chloropipo_flavicapilla
Chloropsis_sonnerati,9,Chlorostilbon_bracei
Chloropsis_venusta,9,Chloropipo_flavicapilla
Chloropsis_venusta,9,Chloropipo_unicolor
Chloropsis_venusta,9,Chloropipo_uniformis
Chloropsis_venusta,9,Chlorostilbon_bracei
Chloropsis_venusta,9,Corythornis_cristatus
Chloropsis_venusta,9,Lophornis_verreauxii
Chloropsis_venusta,9,Merops_mentalis
Chloropsis_venusta,9,Phlegopsis_borbae
Chloropsis_venusta,9,Ptilopsis_leucotis
Chloropsis_venusta,9,Treron_chloropterus
Chlorornis_riefferii,10,Amaurornis_isabellinus
Chlorornis_riefferii,10,Chloropipo_uniformis
Chlorornis_riefferii,10,Lampornis_cinereicauda
Chlorornis_riefferii,10,Siphonorhis_americanus
Chlorospingus_canigularis,12,Chloropipo_unicolor
Chlorospingus_canigularis,12,Chloropipo_uniformis
Chlorospingus_flavigularis,10,Chloropipo_flavicapilla
Chlorospingus_flavovirens,11,Chloropipo_flavicapilla
Chlorospingus_inornatus,11,Chloropipo_uniformis
Chlorospingus_ophthalmicus,14,Chloropipo_flavicapilla
Chlorospingus_ophthalmicus,14,Chloropipo_holochlora
Chlorospingus_ophthalmicus,14,Chloropipo_uniformis
Chlorospingus_pileatus,11,Charadrius_dealbatus
Chlorospingus_pileatus,11,Chloropipo_flavicapilla
Chlorothraupis_frenata,11,Corythornis_cristatus
Chrysococcyx_cupreus,9,Chrysocolaptes_erythrocephalus
Chrysococcyx_cupreus,9,Chrysocolaptes_guttacristatus
Chrysococcyx_cupreus,9,Chrysocolaptes_haematribon
Chrysococcyx_cupreus,9,Chrysocolaptes_stricklandi
Chrysococcyx_cupreus,9,Chrysocolaptes_strictus
Chrysococcyx_cupreus,9,Chrysocolaptes_xanthocephalus
Chrysococcyx_cupreus,9,Hierococcyx_hyperythrus
Chrysococcyx_cupreus,9,Hierococcyx_pectoralis
Cicinnurus_regius,9,Dicrurus_menagei
Cicinnurus_regius,9,Fregilupus_varius
Cicinnurus_regius,9,Hemicircus_sordidus
Cicinnurus_regius,9,Pionus_reichenowi
Cicinnurus_regius,9,Ptilinopus_gestroi
Cicinnurus_regius,9,Ptilinopus_hernsheimi
Cicinnurus_regius,9,Ptilinopus_speciosus
Cicinnurus_regius,9,Ramphiculus_fischeri
Cicinnurus_regius,9,Ramphiculus_meridionalis
Cicinnurus_regius,9,Serinus_reichnowi
Cicinnurus_regius,9,Surniculus_musschenbroeki
Cinclodes_comechingonus,12,Actenoides_capucinus
Cinclodes_comechingonus,12,Ptilinopus_speciosus
Cinclodes_pabsti,8,Ptilinopus_fasciatus
Cissopis_leverianus,9,Merops_americanus
Cisticola_angusticauda,8,Chaetoptila_angustipluma
Clamator_jacobinus,10,Buteo_japonicus
Claravis_pretiosa,9,Aerodramus_brevirostris
Claravis_pretiosa,9,Columba_speciosa
Claravis_pretiosa,9,Heliopais_personata
Cleptornis_marchei,8,Leucopternis_lacernulata
Cleptornis_marchei,8,Leucopternis_schistacea
Cleptornis_marchei,8,Mesitornis_variegata
Cleptornis_marchei,8,Phaethornis_baroni
Cleptornis_marchei,8,Phaetornis_mexicanus
Cnemoscopus_rubrirostris,11,Aerodramus_brevirostris
Cnemoscopus_rubrirostris,11,Trichoglossus_rubritorquis
Coccycolius_iris,8,Coccyzus_bahamensis
Coccycolius_iris,8,Corythornis_cristatus
Coccycua_cinerea,7,Colaptes_cinereicapillus
Coccycua_cinerea,7,Gymnobucco_cinereiceps
Coccycua_cinerea,7,Tringa_cinerea
Coccycua_pumila,7,Coccyzus_bahamensis
Coccyzus_americanus,6,Daptrius_americanus
Coccyzus_americanus,6,Merops_americanus
Coccyzus_americanus,6,Siphonorhis_americanus
Coccyzus_erythropthalmus,10,Chrysocolaptes_erythrocephalus
Coccyzus_erythropthalmus,10,Pteroglossus_erythropygius
Coccyzus_euleri,6,Coccyzus_bahamensis
Coccyzus_ferrugineus,8,Geophaps_ferruginea
Coccyzus_lansbergi,6,Coccyzus_bahamensis
Coccyzus_longirostris,6,Chalcophaps_longirostris
Coccyzus_melacoryphus,10,Coccyzus_bahamensis
Coccyzus_melacoryphus,10,Colaptes_melanolaimus
Coccyzus_melacoryphus,10,Icterus_melanopsis
Coccyzus_merlini,7,Coccyzus_bahamensis
Coccyzus_merlini,7,Ramphiculus_meridionalis
Coccyzus_merlini,7,Saurothera_merlini
Coccyzus_minor,5,Coccyzus_bahamensis
Coccyzus_minor,5,Phoenicopterus_minor
Coccyzus_pluvialis,8,Coccyzus_bahamensis
Coccyzus_rufigularis,8,Ramphiculus_subgularis
Coccyzus_vetula,5,Coccyzus_bahamensis
Coccyzus_vieilloti,8,Coccyzus_bahamensis
Cochlearius_cochlearius,2,Cochlearius_cochlearia
Cochoa_viridis,5,Merops_viridissimus
Coeligena_bonapartei,6,Coeligena_conradii
Coeligena_coeligena,5,Coeligena_consita
Coeligena_coeligena,5,Coeligena_eisenmanni
Coeligena_phalerata,6,Coeligena_albicaudata
Colaptes_rubiginosus,4,Colaptes_aeruginosus
Collocalia_mearnsi,6,Collocalia_spodiopygius
Collocalia_ocista,5,Collocalia_spodiopygius
Columba_sjostedti,6,Columba_corensis
Columba_sjostedti,6,Columba_jouyi
Columba_sjostedti,6,Columba_speciosa
Columbina_minuta,6,Columba_araucana
Columbina_minuta,6,Columba_inornata
Columbina_minuta,6,Columba_maculosa
Columbina_minuta,6,Columba_mayeri
Columbina_minuta,6,Columba_picazuro
Columbina_minuta,6,Columba_picturata
Columbina_minuta,6,Columba_squamosa
Columbina_passerina,7,Columba_caribaea
Columbina_passerina,7,Columba_fasciata
Columbina_passerina,7,Columba_mayeri
Columbina_passerina,7,Columba_subvinacea
Compsospiza_garleppi,11,Amphispiza_quinquestriata
Compsospiza_garleppi,11,Rhynchospiza_strigiceps
Conirostrum_cinereum,10,Colaptes_cinereicapillus
Conirostrum_cinereum,10,Lampornis_cinereicauda
Conirostrum_cinereum,10,Psittaculirostris_cervicalis
Conirostrum_sitticolor,12,Chloropipo_unicolor
Conirostrum_sitticolor,12,Hierococcyx_nisicolor
Conirostrum_sitticolor,12,Psittaculirostris_cervicalis
Conirostrum_tamarugense,13,Antrostomus_arizonae
Conirostrum_tamarugense,13,Canirallus_beankaensis
Conirostrum_tamarugense,13,Cynanthus_lawrencei
Conirostrum_tamarugense,13,Momotus_bahamensis
Conirostrum_tamarugense,13,Tockus_damarensis
Conopophaga_ardesiaca,11,Siphonorhis_americanus
Conopophaga_castaneiceps,13,Arborophila_tonkinesis
Conopophaga_castaneiceps,13,Colaptes_atriceps
Conopophaga_castaneiceps,13,Coua_olivaceiceps
Conopophaga_castaneiceps,13,Pyrrhura_caeruleiceps
Conopophaga_castaneiceps,13,Rhynchospiza_strigiceps
Conopophaga_peruviana,9,Pyrrhura_peruviana
Copsychus_malabaricus,7,Psilopogon_malabaricus
Copsychus_malabaricus,7,Vanellus_malabaricus
Coracias_abyssinicus,6,Coracias_affinis
Coracias_naevia,4,Coracias_affinis
Coracina_boyeri,7,Columba_mayeri
Coracina_boyeri,7,Coracias_affinis
Corvus_cryptoleucus,10,Aulacorhynchus_cyanolaemus
Corvus_cryptoleucus,10,Certhiasomus_stictolaemus
Corvus_cryptoleucus,10,Corythornis_cristatus
Corvus_cryptoleucus,10,Microhierax_melanoleucus
Corvus_cryptoleucus,10,Spizastur_melanoleucus
Corvus_cryptoleucus,10,Tringa_hypoleucos
Corvus_moneduloides,8,Pionus_seniloides
Cossyphicula_roberti,11,Arborophila_tonkinesis
Cossyphicula_roberti,11,Bambusicola_sonorivox
Cossyphicula_roberti,11,Dendropicos_goertae
Cossyphicula_roberti,11,Gallinula_comeri
Cossyphicula_roberti,11,Ramphiculus_meridionalis
Cossyphicula_roberti,11,Trichoglossus_rubritorquis
Cossyphicula_roberti,11,Trichoglossus_weberi
Coturnicops_exquisitus,12,Coracopsis_sibilans
Coturnicops_exquisitus,12,Corythornis_cristatus
Coturnicops_exquisitus,12,Phaetornis_mexicanus
Coturnicops_notatus,8,Coturnix_novaezelandiae
Coturnicops_noveboracensis,10,Parkesia_noveboracensis
Coua_caerulea,4,Pyrrhura_caeruleiceps
Cranioleuca_demissa,10,Eriocnemis_sapphiropygia
Cranioleuca_demissa,10,Systellura_decussata
Cranioleuca_dissita,10,Coeligena_consita
Cranioleuca_erythrops,9,Pteroglossus_erythropygius
Cranioleuca_pallida,10,Coeligena_albicaudata
Cranioleuca_pallida,10,Myrmeciza_palliata
Cranioleuca_pallida,10,Ptilinopus_alligator
Cranioleuca_vulpina,10,Columba_subvinacea
Crax_alberti,5,Melozone_aberti
Crax_alberti,5,Strix_albitarsus
Crax_rubra,3,Psittacara_rubritorquis
Criniger_calurus,8,Canirallus_beankaensis
Criniger_olivaceus,5,Amaurornis_olivaceus
Crocias_langbianis,7,Coracias_affinis
Crossoptilon_auritum,10,Psilopogon_auricularus
Crypturellus_atrocapillus,9,Crypturellus_occidentalis
Cyanocorax_melanocyaneus,12,Microhierax_melanoleucus
Cyanocorax_morio,8,Phalacrocorax_perspicillatus
Cyanocorax_morio,8,Phalacrocorax_verrucosus
Cyanocorax_mystacalis,8,Peucaea_mystacalis
Cyanocorax_sanblasianus,13,Lophoceros_semifasciatus
Cyanocorax_sanblasianus,13,Neocrex_colombianus
Cyanocorax_violaceus,10,Phalacrocorax_verrucosus
Cyanocorax_yucatanicus,8,Otophanes_yucatanicus
Cyclarhis_gujanensis,9,Diopsittaca_cumanensis
Cyclarhis_gujanensis,9,Grallaricula_cumanensis
Cyornis_concretus,7,Corythornis_cristatus
Cyornis_concretus,7,Lampornis_cinereicauda
Cyornis_rubeculoides,9,Pionus_seniloides
Cyornis_rubeculoides,9,Premnornis_guttuliger
Dendragapus_falcipennis,10,Hylatomus_fuscipennis
Dendragapus_fuliginosus,7,Mulleripicus_fuliginosus
Dendrocygna_arcuata,9,Dendrocopos_analis
Dicaeum_nigrilore,8,Paroaria_nigrogenis
Dicaeum_nigrilore,8,Tanysiptera_nigriceps
Dicrurus_adsimilis,6,Phodilus_assimilis
Dicrurus_forficatus,9,Dicrurus_menagei
Dicrurus_forficatus,9,Hemicircus_sordidus
Dicrurus_forficatus,9,Lophoceros_fasciatus
Dicrurus_forficatus,9,Ptilinopus_fasciatus
Dicrurus_forficatus,9,Spizaetus_africanus
Diglossa_venezuelensis,10,Streptopelia_senegalensis
Dolospingus_fringilloides,12,Pionus_seniloides
Dysithamnus_occidentalis,8,Crypturellus_occidentalis
Dysithamnus_plumbeus,10,Leucopternis_plumbea
Dysithamnus_plumbeus,10,Rostrhamus_hamatus
Dysithamnus_xanthopterus,11,Pionites_xanthomerius
Eclectus_roratus,7,Otus_roboratus
Egretta_eulophotes,11,Aerodramus_leucophaeus
Egretta_eulophotes,11,Coeligena_eos
Egretta_eulophotes,11,Cyclopsitta_melanogenia
Egretta_eulophotes,11,Ectopistes_migratorius
Egretta_eulophotes,11,Eurostopodus_exul
Egretta_eulophotes,11,Eurostopodus_nigripennis
Egretta_eulophotes,11,Fregetta_maoriana
Egretta_eulophotes,11,Myiopsitta_luchsi
Egretta_eulophotes,11,Prosobonia_leucoptera
Egretta_eulophotes,11,Psittacella_lorentzi
Egretta_eulophotes,11,Psittaculirostris_cervicalis
Egretta_eulophotes,11,Psittaculirostris_godmani
Egretta_eulophotes,11,Rhizothera_dulitensis
Egretta_eulophotes,11,Treron_chloropterus
Egretta_eulophotes,11,Treron_phoenicoptera
Elvira_cupreiceps,6,Amazilia_cupreicauda
Emberiza_buchanani,9,Drymotoxeres_pucherani
Emberiza_caesia,6,Myrmeciza_palliata
Emberiza_chrysophrys,10,Merops_cyanophrys
Emberiza_cia,5,Myrmeciza_palliata
Emberiza_cineracea,8,Tringa_cinerea
Emberiza_cioides,7,Colaptes_mexicanoides
Emberiza_cirlus,7,Psilopogon_rubricapillus
Emberiza_citrinella,9,Pseudocolopteryx_citreola
Emberiza_godlewskii,11,Columba_corensis
Emberiza_godlewskii,11,Columba_goodsoni
Emberiza_godlewskii,11,Myrmeciza_palliata
Emberiza_jankowskii,11,Myrmeciza_palliata
Emberiza_tahapisi,9,Myrmeciza_palliata
Emberizoides_ypiranganus,13,Actenoides_regalis
Eopsaltria_flaviventris,10,Columba_flavirostris
Eos_bornea,3,Calonectris_borealis
Epimachus_albertisi,9,Aulacorhynchus_albivitta
Epimachus_albertisi,9,Spizaetus_alboniger
Epimachus_albertisi,9,Spizaetus_bartelsi
Eremomela_salvadorii,7,Ducula_salvadorii
Ergaticus_versicolor,8,Columba_versicolor
Erythrura_prasina,8,Pyrrhura_pacifica
Erythrura_prasina,8,Pyrrhura_peruviana
Estrilda_kandti,7,Chrysocolaptes_stricklandi
Estrilda_paludicola,9,Scleroptila_psilolaema
Estrilda_rhodopyga,10,Collocalia_spodiopygius
Estrilda_rhodopyga,10,Psittaculirostris_godmani
Eubucco_richardsoni,9,Eubucco_aurantiicollis
Eubucco_richardsoni,9,Eubucco_glaucogularis
Eubucco_richardsoni,9,Eubucco_steerii
Eudromias_morinellus,11,Amaurornis_moluccanus
Eudromias_morinellus,11,Amaurornis_olivaceus
Eudromias_morinellus,11,Antrostomus_vociferus
Eudromias_morinellus,11,Calonectris_borealis
Eudromias_morinellus,11,Chlidonias_hybridus
Eudromias_morinellus,11,Eudynamys_Orientalis
Eudromias_morinellus,11,Oceanodroma_microsoma
Eudyptula_minor,5,Malacoptila_minor
Eupherusa_cyanophrys,7,Merops_cyanophrys
Euplectes_macroura,9,Atlapetes_atricapillus
Eurostopodus_macrotis,6,Eurostopodus_nigripennis
Falculea_palliata,6,Myrmeciza_palliata
Falcunculus_frontatus,9,Psittacara_frontatus
Ficedula_superciliaris,11,Ramphiculus_subgularis
Ficedula_zanthopygia,10,Streptopelia_xanthocycla
Formicarius_nigricapillus,12,Colaptes_cinereicapillus
Formicarius_nigricapillus,12,Psilopogon_rubricapillus
Formicarius_rufipectus,7,Automolus_rufipectus
Garrulax_strepitans,8,Rallus_crepitans
Garrulax_striatus,7,Butorides_striatus
Garrulax_subunicolor,10,Chloropipo_unicolor
Haplospiza_rustica,9,Amphispiza_quinquestriata
Haplospiza_rustica,9,Aplonis_fusca
Haplospiza_rustica,9,Rhynchospiza_stolzmanni
Haplospiza_rustica,9,Rhynchospiza_strigiceps
Haplospiza_unicolor,7,Chloropipo_unicolor
Harpactes_ardens,7,Otidiphaps_aruensis
Harpactes_diardii,8,Bycanistes_sharpii
Heliangelus_mavors,5,Heliangelus_clarisse
Heliangelus_mavors,5,Heliangelus_spencei
Heliangelus_mavors,5,Heliangelus_zusii
Hirundo_neoxena,9,Buceros_mindanensis
Hirundo_neoxena,9,Ceyx_mindanensis
Hirundo_neoxena,9,Ciridops_anna
Hirundo_neoxena,9,Coeligena_eisenmanni
Hirundo_neoxena,9,Coturnix_novaezelandiae
Hirundo_neoxena,9,Cyclopsitta_coxeni
Hirundo_neoxena,9,Dicrurus_menagei
Hirundo_neoxena,9,Gymnobucco_vernayi
Hirundo_neoxena,9,Lophornis_verreauxii
Hirundo_neoxena,9,Ninox_leventisi
Hirundo_neoxena,9,Ninox_mindorensis
Hirundo_neoxena,9,Ninox_roseoaxillaris
Hirundo_neoxena,9,Phaetornis_mexicanus
Hirundo_neoxena,9,Prioniturus_mindorensis
Hirundo_neoxena,9,Puffinus_elegans
Hirundo_neoxena,9,Reinwardtoena_reinwardtii
Hirundo_neoxena,9,Treron_phoenicoptera
Hirundo_neoxena,9,Turnix_novaecaledoniae
Histurgops_ruficaudus,11,Peucaea_ruficauda
Histurgops_ruficaudus,11,Zosterops_strenuus
Histurgops_ruficaudus,11,Zosterops_strenuus
Histurgops_ruficaudus,11,Zosterops_strenuus
Hyloctistes_subulatus,11,Butorides_striatus
Hyloctistes_subulatus,11,Chrysocolaptes_strictus
Hyloctistes_subulatus,11,Cypseloides_rutilus
Hyloctistes_subulatus,11,Schistes_albogularis
Hyloctistes_virgatus,10,Butorides_striatus
Hyloctistes_virgatus,10,Chrysocolaptes_strictus
Hyloctistes_virgatus,10,Ectopistes_migratorius
Hylomanes_momotula,9,Caloenas_maculata
Hylomanes_momotula,9,Hydrobates_monteiroi
Hylonympha_macrocerca,10,Oreonympha_albolimbata
Hylopezus_auricularis,7,Psilopogon_auricularus
Hylopezus_berlepschi,11,Aerodramus_bartschi
Hylopezus_berlepschi,11,Hylatomus_fuscipennis
Hylopezus_berlepschi,11,Hypnelus_bicinctus
Hylopezus_berlepschi,11,Ptilinopus_hernsheimi
Hylopezus_berlepschi,11,Ptilinopus_mercierii
Hylopezus_berlepschi,11,Spizaetus_bartelsi
Hylopezus_berlepschi,11,Trachylaemus_togoensis
Hylopezus_dives,7,Scytalopus_diamantinensis
Hylopezus_fulviventris,9,Hylatomus_fuscipennis
Hylopezus_macularius,9,Caloenas_maculata
Ibidorhyncha_struthersii,13,Aulacorhynchus_wagleri
Icteria_virens,7,Calonectris_borealis
Icteria_virens,7,Guttera_verreauxi
Icteria_virens,7,Icterus_melanopsis
Icteria_virens,7,Icterus_northropi
Icteria_virens,7,Icterus_portoricensis
Icteria_virens,7,Icterus_pyrrhopterus
Icteria_virens,7,Pitta_irena
Icteria_virens,7,Psittacella_lorentzi
Icteria_virens,7,Spilopelia_chinensis
Icterus_abeillei,6,Icterus_melanopsis
Icterus_auratus,5,Icterus_northropi
Icterus_auratus,5,Icterus_portoricensis
Ictinia_plumbea,5,Leucopternis_plumbea
Illadopsis_fulvescens,11,Dendroica_flavescens
Illadopsis_fulvescens,11,Ptilopsis_leucotis
Ixos_palawanensis,7,Buceros_mindanensis
Ixos_palawanensis,7,Halcyon_pelewensis
